City,Activity,Activity Address,Best Time to Visit,Estimated Budget (INR)
Thiruvananthapuram,Trekking,"78, Market Road, Thiruvananthapuram",November to February,5843
Jodhpur,Historical Tour,"4, Lake Side, Jodhpur",November to February,3442
Bengaluru,Sightseeing,"93, Temple Road, Bengaluru",December to March,6605
Indore,Beach Visit,"150, Hill View Road, Indore",November to February,4578
Varanasi,Shopping,"144, Central Plaza, Varanasi",September to February,5281
Puri,River Rafting,"77, Lake Side, Puri",October to February,10938
Puri,Trekking,"37, Hill View Road, Puri",November to March,8119
Puri,Shopping,"17, Beachside Promenade, Puri",October to February,5972
Shimla,Trekking,"81, Beachside Promenade, Shimla",September to February,6034
Shimla,Sightseeing,"40, Beachside Promenade, Shimla",September to February,5435
Rishikesh,Sightseeing,"48, Lake Side, Rishikesh",September to February,4025
Vijayawada,Museum Visit,"138, Main Street, Vijayawada",December to March,2784
Patna,Cultural Tour,"75, Beachside Promenade, Patna",November to March,4002
Leh,Historical Tour,"124, Hill View Road, Leh",October to March,7216
Manali,Historical Tour,"1, Heritage Lane, Manali",October to March,7991
Pune,Food Tasting,"20, Temple Road, Pune",October to March,3737
Goa,Beach Visit,"116, Hill View Road, Goa",November to February,3340
Darjeeling,Historical Tour,"39, Cultural District, Darjeeling",October to February,6573
Ahmedabad,Cultural Tour,"96, Old Town, Ahmedabad",November to February,5055
Darjeeling,Adventure Sports,"86, Garden Street, Darjeeling",November to March,8335
Ahmedabad,Adventure Sports,"126, Heritage Lane, Ahmedabad",November to February,8539
Amritsar,Shopping,"17, Beachside Promenade, Amritsar",October to March,3452
Agra,Historical Tour,"105, Cultural District, Agra",September to February,4526
Mumbai,Beach Visit,"43, Lake Side, Mumbai",October to March,4023
Delhi,Food Tasting,"128, Beachside Promenade, Delhi",September to February,2123
Mumbai,Cultural Tour,"1, Heritage Lane, Mumbai",November to February,4211
Surat,River Rafting,"42, Cultural District, Surat",October to March,10596
Coimbatore,Shopping,"6, Cultural District, Coimbatore",November to February,2477
Imphal,Trekking,"17, Main Street, Imphal",October to February,5044
Kochi,Museum Visit,"80, Garden Street, Kochi",November to February,2770
Mysore,Sightseeing,"135, Cultural District, Mysore",December to March,4253
Patna,Museum Visit,"40, Temple Road, Patna",November to March,2816
Varanasi,River Rafting,"92, Temple Road, Varanasi",October to March,6670
Leh,Food Tasting,"117, Old Town, Leh",October to March,3710
Puri,River Rafting,"1, Old Town, Puri",November to March,8971
Agra,Shopping,"111, Main Street, Agra",September to February,2224
Surat,Historical Tour,"39, Temple Road, Surat",November to February,6407
Varanasi,Sightseeing,"15, Beachside Promenade, Varanasi",October to March,3515
Thiruvananthapuram,Temple Visit,"80, Riverfront Area, Thiruvananthapuram",November to February,1978
Bengaluru,Food Tasting,"95, Lake Side, Bengaluru",December to March,2770
Amritsar,Sightseeing,"39, Hill View Road, Amritsar",October to March,4429
Vadodara,River Rafting,"149, Beachside Promenade, Vadodara",October to March,11973
Daman,Temple Visit,"47, Old Town, Daman",December to March,3420
Jaipur,Sightseeing,"66, Market Road, Jaipur",September to February,3002
Patna,Beach Visit,"20, Main Street, Patna",November to March,4967
Vijayawada,Trekking,"64, Lake Side, Vijayawada",November to February,5123
Vijayawada,Museum Visit,"68, Beachside Promenade, Vijayawada",November to February,1545
Patna,Shopping,"130, Temple Road, Patna",November to March,5505
Chandigarh,Cultural Tour,"79, Market Road, Chandigarh",October to March,5459
Gangtok,Cultural Tour,"101, Cultural District, Gangtok",November to March,4368
Chennai,Sightseeing,"24, Garden Street, Chennai",November to February,3825
Shimla,Adventure Sports,"53, Riverfront Area, Shimla",October to March,7526
Nagpur,Shopping,"5, Beachside Promenade, Nagpur",November to February,5063
Diu,Adventure Sports,"12, Old Town, Diu",December to March,10770
Madurai,Adventure Sports,"130, Heritage Lane, Madurai",December to March,13945
Chennai,Beach Visit,"117, Garden Street, Chennai",November to February,4731
Pune,Sightseeing,"124, Central Plaza, Pune",October to March,4727
Thiruvananthapuram,Temple Visit,"131, Riverfront Area, Thiruvananthapuram",November to February,1771
Bengaluru,Shopping,"27, Garden Street, Bengaluru",December to March,4153
Jaipur,Historical Tour,"103, Lake Side, Jaipur",September to February,7171
Rishikesh,Temple Visit,"116, Old Town, Rishikesh",October to March,3052
Nagpur,Sightseeing,"35, Beachside Promenade, Nagpur",November to February,4487
Kavaratti,Museum Visit,"34, Central Plaza, Kavaratti",November to April,1146
Port Blair,Cultural Tour,"9, Cultural District, Port Blair",November to April,7206
Pondicherry,Temple Visit,"34, Hill View Road, Pondicherry",November to February,2620
Patna,Museum Visit,"98, Temple Road, Patna",November to March,2296
Madurai,Food Tasting,"115, Hill View Road, Madurai",November to February,3539
Lakshadweep,Trekking,"6, Beachside Promenade, Lakshadweep",December to March,4920
Madurai,Trekking,"25, Lake Side, Madurai",November to February,6656
Vijayawada,Shopping,"134, Market Road, Vijayawada",November to February,4504
Kavaratti,Trekking,"143, Garden Street, Kavaratti",November to April,8109
Patna,Historical Tour,"93, Cultural District, Patna",November to March,5502
Patna,Beach Visit,"142, Hill View Road, Patna",November to March,5172
Surat,Adventure Sports,"112, Market Road, Surat",October to March,13562
Patna,Beach Visit,"80, Garden Street, Patna",October to February,2863
Jaipur,Trekking,"37, Market Road, Jaipur",September to February,4898
Ranchi,Beach Visit,"30, Hill View Road, Ranchi",October to February,4794
Udaipur,Wildlife Safari,"50, Old Town, Udaipur",November to February,5413
Varanasi,Shopping,"101, Main Street, Varanasi",September to February,5967
Amritsar,River Rafting,"91, Lake Side, Amritsar",October to March,11497
Ahmedabad,Museum Visit,"90, Main Street, Ahmedabad",November to February,2431
Darjeeling,Museum Visit,"69, Riverfront Area, Darjeeling",October to February,2492
Madurai,Temple Visit,"64, Garden Street, Madurai",December to March,2428
Bhubaneswar,Sightseeing,"6, Central Plaza, Bhubaneswar",November to March,5055
Chandigarh,Trekking,"83, Heritage Lane, Chandigarh",September to February,7045
Lakshadweep,Temple Visit,"63, Old Town, Lakshadweep",December to March,2982
Mysore,Sightseeing,"13, Cultural District, Mysore",December to March,6290
Lakshadweep,Museum Visit,"25, Garden Street, Lakshadweep",November to April,2735
Delhi,Food Tasting,"147, Lake Side, Delhi",October to March,1919
Gangtok,Food Tasting,"15, Beachside Promenade, Gangtok",October to February,2806
Daman,River Rafting,"82, Hill View Road, Daman",November to April,8942
Lakshadweep,Shopping,"115, Riverfront Area, Lakshadweep",December to March,2492
Pondicherry,Trekking,"149, Central Plaza, Pondicherry",December to March,8211
Surat,Food Tasting,"48, Cultural District, Surat",November to February,3571
Agra,Temple Visit,"45, Lake Side, Agra",September to February,1497
Vadodara,Adventure Sports,"62, Central Plaza, Vadodara",November to February,7542
Goa,Sightseeing,"95, Temple Road, Goa",November to February,4984
Puri,Museum Visit,"76, Riverfront Area, Puri",October to February,2705
Jodhpur,Sightseeing,"82, Main Street, Jodhpur",October to March,4052
Patna,River Rafting,"4, Temple Road, Patna",October to February,10235
Agartala,Cultural Tour,"27, Riverfront Area, Agartala",October to February,6145
Agra,Temple Visit,"127, Cultural District, Agra",October to March,3111
Shillong,Wildlife Safari,"147, Garden Street, Shillong",October to February,9728
Kolkata,Historical Tour,"115, Garden Street, Kolkata",October to February,7512
Indore,Beach Visit,"10, Hill View Road, Indore",October to March,5712
Jaipur,Sightseeing,"9, Central Plaza, Jaipur",October to March,4071
Shimla,Trekking,"133, Beachside Promenade, Shimla",September to February,4312
Kolkata,Shopping,"5, Old Town, Kolkata",October to February,5943
Jodhpur,Cultural Tour,"73, Cultural District, Jodhpur",October to March,4787
Mysore,River Rafting,"20, Cultural District, Mysore",December to March,11654
Varanasi,Wildlife Safari,"121, Temple Road, Varanasi",September to February,7794
Thiruvananthapuram,Shopping,"105, Riverfront Area, Thiruvananthapuram",December to March,3077
Vadodara,Museum Visit,"78, Central Plaza, Vadodara",November to February,2012
Imphal,Museum Visit,"44, Beachside Promenade, Imphal",November to March,2067
Jaipur,Shopping,"112, Main Street, Jaipur",October to March,4665
Nagpur,Sightseeing,"104, Hill View Road, Nagpur",October to March,4098
Chandigarh,Wildlife Safari,"52, Heritage Lane, Chandigarh",September to February,5918
Kavaratti,Temple Visit,"130, Central Plaza, Kavaratti",November to April,1022
Kavaratti,Temple Visit,"18, Old Town, Kavaratti",December to March,2785
Mysore,Trekking,"69, Main Street, Mysore",December to March,4420
Bhubaneswar,Shopping,"147, Hill View Road, Bhubaneswar",November to March,2006
Kavaratti,Adventure Sports,"114, Garden Street, Kavaratti",December to March,7978
Coimbatore,Museum Visit,"133, Lake Side, Coimbatore",December to March,1493
Chennai,Trekking,"29, Beachside Promenade, Chennai",November to February,5109
Goa,Adventure Sports,"14, Old Town, Goa",November to February,12222
Ahmedabad,Sightseeing,"141, Heritage Lane, Ahmedabad",October to March,6998
Bhubaneswar,Temple Visit,"37, Cultural District, Bhubaneswar",October to February,2345
Hyderabad,Trekking,"127, Old Town, Hyderabad",December to March,6469
Shimla,Cultural Tour,"40, Heritage Lane, Shimla",October to March,7648
Mumbai,Historical Tour,"67, Heritage Lane, Mumbai",October to March,3238
Vijayawada,Cultural Tour,"21, Hill View Road, Vijayawada",December to March,5082
Kavaratti,Food Tasting,"123, Hill View Road, Kavaratti",December to March,2986
Jaipur,Cultural Tour,"121, Heritage Lane, Jaipur",October to March,5950
Agartala,Beach Visit,"79, Riverfront Area, Agartala",October to February,2669
Gangtok,Beach Visit,"64, Heritage Lane, Gangtok",October to February,4975
Thiruvananthapuram,Adventure Sports,"116, Beachside Promenade, Thiruvananthapuram",November to February,14967
Patna,Cultural Tour,"52, Cultural District, Patna",October to February,7879
Chennai,Adventure Sports,"7, Main Street, Chennai",November to February,10065
Daman,Food Tasting,"39, Market Road, Daman",December to March,3248
Mumbai,Wildlife Safari,"91, Beachside Promenade, Mumbai",October to March,7776
Shimla,Wildlife Safari,"121, Lake Side, Shimla",September to February,6907
Agartala,Historical Tour,"56, Riverfront Area, Agartala",October to February,6836
Chandigarh,Adventure Sports,"108, Central Plaza, Chandigarh",September to February,13609
Mysore,Beach Visit,"131, Beachside Promenade, Mysore",November to February,4122
Udaipur,Museum Visit,"130, Hill View Road, Udaipur",October to March,2955
Agartala,Cultural Tour,"11, Garden Street, Agartala",October to February,3698
Agra,Shopping,"39, Beachside Promenade, Agra",September to February,3919
Vadodara,Temple Visit,"59, Beachside Promenade, Vadodara",November to February,2582
Patna,Adventure Sports,"8, Riverfront Area, Patna",November to March,10563
Coimbatore,Trekking,"45, Heritage Lane, Coimbatore",November to February,4320
Pune,Temple Visit,"90, Heritage Lane, Pune",November to February,1220
Mumbai,Museum Visit,"97, Main Street, Mumbai",November to February,1930
Chandigarh,Shopping,"40, Hill View Road, Chandigarh",September to February,5785
Agartala,Adventure Sports,"8, Central Plaza, Agartala",October to February,12229
Manali,Sightseeing,"40, Main Street, Manali",October to March,6835
Udaipur,River Rafting,"134, Temple Road, Udaipur",October to March,11837
Nagpur,Historical Tour,"30, Lake Side, Nagpur",November to February,4956
Delhi,Trekking,"70, Market Road, Delhi",September to February,5267
Hyderabad,Sightseeing,"135, Beachside Promenade, Hyderabad",November to February,3662
Bhubaneswar,Food Tasting,"82, Beachside Promenade, Bhubaneswar",October to February,1834
Kavaratti,Historical Tour,"132, Temple Road, Kavaratti",December to March,7084
Hyderabad,Sightseeing,"35, Main Street, Hyderabad",December to March,4523
Bengaluru,Sightseeing,"52, Cultural District, Bengaluru",December to March,5468
Gangtok,Sightseeing,"25, Heritage Lane, Gangtok",November to March,5338
Agartala,River Rafting,"131, Main Street, Agartala",November to March,6515
Hyderabad,Sightseeing,"29, Heritage Lane, Hyderabad",November to February,4647
Ahmedabad,Adventure Sports,"29, Main Street, Ahmedabad",November to February,9284
Amritsar,Historical Tour,"52, Central Plaza, Amritsar",October to March,4906
Jaipur,Shopping,"121, Garden Street, Jaipur",September to February,3374
Indore,Sightseeing,"15, Central Plaza, Indore",October to March,3847
Puri,Shopping,"57, Main Street, Puri",October to February,4154
Ahmedabad,Shopping,"113, Heritage Lane, Ahmedabad",November to February,2366
Chandigarh,Food Tasting,"113, Main Street, Chandigarh",October to March,3862
Ahmedabad,Cultural Tour,"52, Main Street, Ahmedabad",October to March,4262
Ahmedabad,Temple Visit,"83, Cultural District, Ahmedabad",November to February,3425
Hyderabad,Beach Visit,"3, Lake Side, Hyderabad",December to March,4575
Jodhpur,Trekking,"97, Cultural District, Jodhpur",October to March,8428
Indore,Cultural Tour,"32, Beachside Promenade, Indore",November to February,7129
Pondicherry,River Rafting,"66, Temple Road, Pondicherry",December to March,7211
Bhubaneswar,Shopping,"29, Beachside Promenade, Bhubaneswar",November to March,5342
Imphal,Wildlife Safari,"28, Cultural District, Imphal",November to March,8289
Vijayawada,Temple Visit,"32, Hill View Road, Vijayawada",November to February,2040
Coimbatore,Museum Visit,"45, Riverfront Area, Coimbatore",December to March,2880
Kavaratti,Beach Visit,"94, Temple Road, Kavaratti",December to March,4448
Puri,Adventure Sports,"82, Old Town, Puri",November to March,7966
Ahmedabad,Sightseeing,"7, Old Town, Ahmedabad",October to March,6261
Kavaratti,Sightseeing,"125, Market Road, Kavaratti",December to March,5181
Pune,Trekking,"111, Garden Street, Pune",November to February,8527
Agartala,Food Tasting,"54, Garden Street, Agartala",November to March,3752
Coimbatore,Museum Visit,"95, Heritage Lane, Coimbatore",December to March,1483
Agra,Trekking,"20, Market Road, Agra",September to February,4451
Kochi,Wildlife Safari,"143, Temple Road, Kochi",December to March,8055
Bhubaneswar,Shopping,"70, Beachside Promenade, Bhubaneswar",October to February,4224
Agartala,Beach Visit,"118, Hill View Road, Agartala",October to February,3334
Diu,Shopping,"91, Market Road, Diu",December to March,2751
Goa,Sightseeing,"98, Garden Street, Goa",November to February,5505
Rishikesh,Temple Visit,"80, Beachside Promenade, Rishikesh",September to February,1820
Kochi,Sightseeing,"98, Market Road, Kochi",November to February,5765
Thiruvananthapuram,Food Tasting,"110, Heritage Lane, Thiruvananthapuram",November to February,2966
Chandigarh,Food Tasting,"24, Main Street, Chandigarh",September to February,2229
Jodhpur,Beach Visit,"118, Heritage Lane, Jodhpur",October to March,4613
Agartala,Sightseeing,"58, Cultural District, Agartala",November to March,4041
Varanasi,Beach Visit,"79, Main Street, Varanasi",September to February,4094
Madurai,Historical Tour,"148, Cultural District, Madurai",December to March,7203
Agra,Temple Visit,"73, Market Road, Agra",October to March,1562
Leh,Temple Visit,"129, Lake Side, Leh",October to March,2483
Ahmedabad,Trekking,"51, Market Road, Ahmedabad",November to February,5605
Jodhpur,Shopping,"61, Cultural District, Jodhpur",October to March,5198
Pune,Wildlife Safari,"73, Central Plaza, Pune",November to February,6739
Delhi,Food Tasting,"94, Temple Road, Delhi",September to February,1572
Kavaratti,Wildlife Safari,"51, Market Road, Kavaratti",December to March,9859
Amritsar,Sightseeing,"110, Main Street, Amritsar",September to February,5953
Port Blair,Shopping,"137, Central Plaza, Port Blair",November to April,3608
Delhi,Sightseeing,"50, Central Plaza, Delhi",October to March,4007
Ranchi,Adventure Sports,"58, Hill View Road, Ranchi",November to March,10321
Agra,Cultural Tour,"107, Riverfront Area, Agra",October to March,3505
Indore,Trekking,"44, Central Plaza, Indore",October to March,8696
Agra,Shopping,"150, Cultural District, Agra",September to February,4715
Kolkata,Shopping,"62, Central Plaza, Kolkata",November to March,3540
Jaipur,Cultural Tour,"139, Hill View Road, Jaipur",September to February,7623
Jodhpur,Food Tasting,"40, Garden Street, Jodhpur",October to March,3590
Lakshadweep,Wildlife Safari,"92, Main Street, Lakshadweep",November to April,7977
Thiruvananthapuram,Wildlife Safari,"36, Market Road, Thiruvananthapuram",December to March,7885
Kochi,Trekking,"134, Temple Road, Kochi",December to March,6628
Jodhpur,Historical Tour,"125, Cultural District, Jodhpur",November to February,5268
Gangtok,Sightseeing,"4, Central Plaza, Gangtok",October to February,4567
Rishikesh,Cultural Tour,"130, Main Street, Rishikesh",October to March,4172
Mysore,Wildlife Safari,"21, Main Street, Mysore",November to February,8905
Agra,River Rafting,"58, Main Street, Agra",September to February,6365
Nagpur,Beach Visit,"105, Riverfront Area, Nagpur",October to March,5744
Mumbai,Beach Visit,"131, Lake Side, Mumbai",November to February,5577
Darjeeling,Beach Visit,"70, Riverfront Area, Darjeeling",November to March,3591
Vijayawada,Museum Visit,"67, Cultural District, Vijayawada",November to February,1344
Leh,Food Tasting,"24, Riverfront Area, Leh",September to February,3978
Nagpur,Sightseeing,"65, Temple Road, Nagpur",November to February,3442
Vijayawada,Museum Visit,"27, Old Town, Vijayawada",December to March,1020
Nagpur,Sightseeing,"129, Heritage Lane, Nagpur",October to March,4339
Chennai,Sightseeing,"7, Riverfront Area, Chennai",November to February,6588
Madurai,Historical Tour,"39, Beachside Promenade, Madurai",December to March,5336
Gangtok,River Rafting,"45, Garden Street, Gangtok",November to March,8984
Hyderabad,Sightseeing,"77, Hill View Road, Hyderabad",December to March,5347
Leh,Shopping,"73, Garden Street, Leh",October to March,3622
Delhi,Temple Visit,"27, Temple Road, Delhi",October to March,1039
Daman,River Rafting,"102, Central Plaza, Daman",November to April,9524
Kochi,Museum Visit,"100, Riverfront Area, Kochi",December to March,1863
Chandigarh,Beach Visit,"32, Market Road, Chandigarh",October to March,5498
Coimbatore,Historical Tour,"34, Central Plaza, Coimbatore",November to February,7150
Chennai,Temple Visit,"51, Hill View Road, Chennai",November to February,1945
Thiruvananthapuram,Museum Visit,"84, Beachside Promenade, Thiruvananthapuram",November to February,2049
Leh,Sightseeing,"38, Heritage Lane, Leh",September to February,4504
Ranchi,Cultural Tour,"86, Garden Street, Ranchi",October to February,7312
Nagpur,Sightseeing,"84, Lake Side, Nagpur",October to March,4641
Pune,Cultural Tour,"15, Riverfront Area, Pune",October to March,5252
Surat,Trekking,"56, Temple Road, Surat",November to February,4731
Nagpur,Beach Visit,"140, Market Road, Nagpur",October to March,2885
Gangtok,Cultural Tour,"116, Main Street, Gangtok",November to March,5833
Hyderabad,Adventure Sports,"79, Garden Street, Hyderabad",November to February,11171
Patna,Trekking,"5, Heritage Lane, Patna",November to March,5341
Bhubaneswar,Adventure Sports,"89, Central Plaza, Bhubaneswar",October to February,8571
Kochi,Beach Visit,"121, Riverfront Area, Kochi",December to March,3187
Shillong,Cultural Tour,"113, Cultural District, Shillong",November to March,7900
Agra,River Rafting,"137, Beachside Promenade, Agra",October to March,9011
Ranchi,Trekking,"128, Hill View Road, Ranchi",November to March,8119
Shimla,Museum Visit,"100, Heritage Lane, Shimla",September to February,2846
Daman,Food Tasting,"60, Market Road, Daman",December to March,2071
Lakshadweep,Trekking,"138, Garden Street, Lakshadweep",November to April,8571
Surat,Wildlife Safari,"22, Old Town, Surat",October to March,5450
Nagpur,Cultural Tour,"138, Garden Street, Nagpur",October to March,7121
Vijayawada,Museum Visit,"133, Heritage Lane, Vijayawada",November to February,2782
Rishikesh,Museum Visit,"142, Main Street, Rishikesh",October to March,1998
Coimbatore,Temple Visit,"149, Lake Side, Coimbatore",December to March,2915
Varanasi,Shopping,"117, Main Street, Varanasi",October to March,4019
Chandigarh,Food Tasting,"45, Market Road, Chandigarh",October to March,2785
Coimbatore,Cultural Tour,"107, Old Town, Coimbatore",December to March,3686
Ahmedabad,Shopping,"102, Central Plaza, Ahmedabad",October to March,5998
Hyderabad,Cultural Tour,"55, Garden Street, Hyderabad",November to February,7547
Patna,Historical Tour,"26, Market Road, Patna",October to February,4921
Surat,Museum Visit,"89, Hill View Road, Surat",November to February,2615
Bengaluru,Adventure Sports,"20, Old Town, Bengaluru",December to March,12522
Bhubaneswar,Museum Visit,"27, Heritage Lane, Bhubaneswar",November to March,2896
Vadodara,Temple Visit,"136, Market Road, Vadodara",October to March,2162
Vijayawada,Cultural Tour,"96, Lake Side, Vijayawada",November to February,7182
Agra,Museum Visit,"18, Cultural District, Agra",September to February,1233
Pune,Cultural Tour,"111, Old Town, Pune",November to February,4756
Pune,Shopping,"87, Garden Street, Pune",November to February,3028
Imphal,River Rafting,"26, Old Town, Imphal",November to March,7053
Goa,Museum Visit,"89, Market Road, Goa",October to March,2700
Udaipur,Sightseeing,"110, Garden Street, Udaipur",October to March,3913
Delhi,Trekking,"17, Lake Side, Delhi",October to March,5913
Gangtok,Food Tasting,"49, Beachside Promenade, Gangtok",October to February,2748
Surat,Adventure Sports,"41, Riverfront Area, Surat",November to February,11813
Mumbai,Temple Visit,"98, Old Town, Mumbai",October to March,3146
Puri,Shopping,"131, Garden Street, Puri",November to March,2156
Amritsar,Adventure Sports,"56, Cultural District, Amritsar",September to February,13045
Hyderabad,Cultural Tour,"17, Heritage Lane, Hyderabad",December to March,5608
Daman,Historical Tour,"129, Riverfront Area, Daman",November to April,3762
Bhubaneswar,Shopping,"96, Heritage Lane, Bhubaneswar",October to February,5336
Chandigarh,Cultural Tour,"150, Beachside Promenade, Chandigarh",October to March,4079
Mumbai,River Rafting,"63, Hill View Road, Mumbai",October to March,6939
Bengaluru,Wildlife Safari,"63, Market Road, Bengaluru",December to March,9316
Bhubaneswar,Adventure Sports,"141, Temple Road, Bhubaneswar",October to February,11723
Ahmedabad,Food Tasting,"19, Main Street, Ahmedabad",October to March,2631
Agartala,River Rafting,"91, Garden Street, Agartala",November to March,11682
Pune,Shopping,"64, Beachside Promenade, Pune",November to February,2621
Varanasi,Sightseeing,"66, Cultural District, Varanasi",September to February,3807
Lakshadweep,River Rafting,"89, Riverfront Area, Lakshadweep",December to March,7955
Port Blair,Food Tasting,"16, Heritage Lane, Port Blair",November to April,2460
Chennai,Temple Visit,"42, Main Street, Chennai",December to March,3323
Kolkata,Shopping,"96, Beachside Promenade, Kolkata",October to February,3616
Rishikesh,Wildlife Safari,"150, Old Town, Rishikesh",September to February,5904
Agra,Cultural Tour,"87, Market Road, Agra",September to February,4904
Madurai,Sightseeing,"8, Old Town, Madurai",December to March,6152
Surat,Trekking,"142, Riverfront Area, Surat",November to February,4460
Jodhpur,Cultural Tour,"98, Temple Road, Jodhpur",November to February,4422
Mumbai,Cultural Tour,"130, Main Street, Mumbai",November to February,6413
Ranchi,Beach Visit,"129, Hill View Road, Ranchi",November to March,3798
Gangtok,Wildlife Safari,"91, Market Road, Gangtok",November to March,5456
Madurai,Temple Visit,"110, Beachside Promenade, Madurai",November to February,2543
Surat,Food Tasting,"61, Cultural District, Surat",October to March,2757
Puri,Historical Tour,"148, Garden Street, Puri",November to March,7252
Delhi,Trekking,"31, Hill View Road, Delhi",September to February,4258
Chandigarh,Cultural Tour,"94, Heritage Lane, Chandigarh",September to February,3745
Vadodara,Food Tasting,"141, Beachside Promenade, Vadodara",November to February,2896
Madurai,Sightseeing,"36, Beachside Promenade, Madurai",November to February,3344
Vijayawada,Temple Visit,"29, Hill View Road, Vijayawada",November to February,1093
Agartala,Sightseeing,"15, Central Plaza, Agartala",October to February,6580
Hyderabad,Historical Tour,"16, Lake Side, Hyderabad",November to February,4794
Vadodara,Wildlife Safari,"69, Garden Street, Vadodara",November to February,6700
Vijayawada,Historical Tour,"85, Garden Street, Vijayawada",November to February,4091
Madurai,River Rafting,"118, Hill View Road, Madurai",November to February,11772
Delhi,Shopping,"82, Riverfront Area, Delhi",September to February,3197
Kochi,Wildlife Safari,"148, Temple Road, Kochi",November to February,9348
Vadodara,Cultural Tour,"1, Beachside Promenade, Vadodara",November to February,5382
Leh,Temple Visit,"136, Beachside Promenade, Leh",September to February,1550
Ahmedabad,Sightseeing,"150, Heritage Lane, Ahmedabad",November to February,5417
Vijayawada,Historical Tour,"125, Central Plaza, Vijayawada",November to February,6557
Vijayawada,Cultural Tour,"69, Lake Side, Vijayawada",December to March,4848
Kavaratti,Food Tasting,"112, Main Street, Kavaratti",November to April,3360
Mumbai,Food Tasting,"84, Temple Road, Mumbai",November to February,2373
Indore,Cultural Tour,"131, Central Plaza, Indore",October to March,4363
Mumbai,River Rafting,"102, Old Town, Mumbai",October to March,9730
Jaipur,Museum Visit,"95, Hill View Road, Jaipur",September to February,2948
Coimbatore,Adventure Sports,"13, Old Town, Coimbatore",November to February,12286
Udaipur,Food Tasting,"93, Heritage Lane, Udaipur",November to February,1676
Daman,Temple Visit,"21, Hill View Road, Daman",December to March,1181
Surat,Historical Tour,"84, Market Road, Surat",November to February,5878
Udaipur,Temple Visit,"61, Market Road, Udaipur",October to March,1441
Thiruvananthapuram,Museum Visit,"80, Lake Side, Thiruvananthapuram",December to March,1946
Leh,Museum Visit,"141, Market Road, Leh",September to February,2834
Mysore,Beach Visit,"92, Hill View Road, Mysore",December to March,4764
Thiruvananthapuram,Adventure Sports,"137, Garden Street, Thiruvananthapuram",November to February,11330
Mumbai,Adventure Sports,"117, Cultural District, Mumbai",October to March,12741
Thiruvananthapuram,River Rafting,"134, Market Road, Thiruvananthapuram",November to February,11977
Kavaratti,River Rafting,"76, Temple Road, Kavaratti",November to April,9523
Surat,Wildlife Safari,"116, Old Town, Surat",November to February,6933
Ahmedabad,Adventure Sports,"139, Market Road, Ahmedabad",October to March,13011
Nagpur,Cultural Tour,"128, Riverfront Area, Nagpur",November to February,6606
Bhubaneswar,Adventure Sports,"45, Main Street, Bhubaneswar",October to February,8560
Thiruvananthapuram,Food Tasting,"3, Beachside Promenade, Thiruvananthapuram",December to March,3585
Mysore,River Rafting,"45, Garden Street, Mysore",December to March,6692
Chennai,Historical Tour,"3, Lake Side, Chennai",November to February,6380
Gangtok,Sightseeing,"140, Beachside Promenade, Gangtok",October to February,4213
Vadodara,Historical Tour,"142, Old Town, Vadodara",November to February,3082
Port Blair,Temple Visit,"51, Market Road, Port Blair",November to April,1148
Coimbatore,Trekking,"42, Market Road, Coimbatore",December to March,5996
Hyderabad,Food Tasting,"28, Central Plaza, Hyderabad",December to March,2467
Patna,Historical Tour,"6, Beachside Promenade, Patna",November to March,5465
Nagpur,Trekking,"7, Old Town, Nagpur",November to February,6993
Udaipur,Beach Visit,"82, Main Street, Udaipur",October to March,2936
Darjeeling,Museum Visit,"104, Main Street, Darjeeling",November to March,2105
Delhi,Adventure Sports,"88, Heritage Lane, Delhi",September to February,9986
Puri,Sightseeing,"83, Cultural District, Puri",October to February,5237
Jaipur,Cultural Tour,"87, Hill View Road, Jaipur",October to March,6670
Bengaluru,Temple Visit,"142, Beachside Promenade, Bengaluru",December to March,1080
Madurai,Wildlife Safari,"13, Beachside Promenade, Madurai",December to March,5955
Imphal,River Rafting,"33, Temple Road, Imphal",November to March,8734
Nagpur,Wildlife Safari,"80, Old Town, Nagpur",November to February,9476
Shillong,Cultural Tour,"5, Old Town, Shillong",October to February,4428
Hyderabad,Historical Tour,"143, Heritage Lane, Hyderabad",December to March,3736
Ranchi,Cultural Tour,"104, Hill View Road, Ranchi",November to March,5037
Pune,Wildlife Safari,"83, Central Plaza, Pune",October to March,5451
Agra,River Rafting,"73, Lake Side, Agra",September to February,8473
Agartala,Museum Visit,"80, Beachside Promenade, Agartala",October to February,1132
Pondicherry,Adventure Sports,"56, Riverfront Area, Pondicherry",November to February,14029
Coimbatore,Museum Visit,"16, Main Street, Coimbatore",November to February,2305
Varanasi,Sightseeing,"131, Heritage Lane, Varanasi",September to February,4362
Mumbai,Beach Visit,"118, Hill View Road, Mumbai",November to February,5337
Delhi,Museum Visit,"113, Old Town, Delhi",September to February,2420
Jaipur,Trekking,"9, Beachside Promenade, Jaipur",September to February,7506
Puri,Cultural Tour,"117, Main Street, Puri",October to February,5888
Patna,Beach Visit,"109, Garden Street, Patna",November to March,4255
Hyderabad,Wildlife Safari,"60, Old Town, Hyderabad",December to March,6379
Patna,Beach Visit,"41, Old Town, Patna",October to February,3573
Varanasi,Wildlife Safari,"17, Old Town, Varanasi",September to February,5088
Pondicherry,Sightseeing,"128, Lake Side, Pondicherry",November to February,5657
